Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cilium Assembly (GO:0060271)	145/247	3.537312247182564E-16	1.545913009255543E-12	0	0	2.8556964293714437	101.59995129054934	DYNC2I2;DYNC2I1;TRAF3IP1;AVIL;GORAB;IFT172;CEP19;TXNDC15;CDC14A;MCIDAS;TBC1D32;DZIP1L;CEP250;NEK1;TEKT3;TRAPPC14;DYNC2H1;DNAAF3;DNAAF1;ARMC9;RFX3;CSNK1D;IFT80;OCRL;RPGRIP1L;FAM161A;IFT81;TMEM138;RAB34;ALPK3;WDPCP;BBOF1;ALPK1;CCNO;CPAP;NOTCH1;INTU;FAM149B1;ARL6;ARL3;TTBK2;DYNC2LI1;KIF3B;STK36;PTPMT1;TTC21B;NPHP3;PIBF1;BBS2;PLK4;BBS1;CFAP74;CFAP70;DCDC2;IFT122;CPLANE1;BBIP1;TMEM231;AHI1;DNMBP;TMEM237;MKS1;CEP83;IFT27;CIBAR1;DZIP1;SPAG17;C2CD3;CEP164;DNAAF11;SNX10;PTPN23;RPGR;IFT52;TCTN3;TCTN2;TCTN1;TMEM107;CFAP47;BBS9;BBS7;CFAP43;IFT57;BBS5;CC2D2A;CEP290;IFT56;SNAP29;BBS4;OFD1;IQCB1;CCDC39;DNAI2;MKKS;IFT140;KIF24;WDR35;CFAP221;BBS10;IFT43;TMEM216;CFAP58;ZMYND10;CFAP54;MAPRE2;CFAP53;GAS8;CILK1;CCDC40;DCTN1;DNAH5;DYNLT2B;RSPH9;PRICKLE1;CFAP206;HDAC6;IFT74;CFAP298;ARL13B;TMEM67;RAB23;KIAA0753;POC1A;FLNA;POC1B;TOGARAM1;DMD;PCNT;RSPH4A;GSN;USP9X;WDR19;SCLT1;FOXJ1;WDR11;RP1L1;RPGRIP1;TTC8;RSPH1;KIAA0586;HYLS1;B9D1;B9D2;CEP41;CLUAP1
Sensory Perception of Sound (GO:0007605)	71/96	5.918503098221833E-16	1.545913009255543E-12	0	0	5.674438921524326	198.96442897958798	CLIC5;RIPOR2;WDR1;PTPRQ;PJVK;RORA;CDC14A;NIPBL;GRM7;HOXA1;CCDC50;TPRN;CHRNB2;TMC1;MKKS;PAX3;MYO7A;POU3F4;SERPINB6;COL2A1;KCNQ1;COL4A3;KIT;MYO3A;ALDH7A1;CLRN2;ATP6V1B1;CLRN1;NDUFB9;SPTBN4;KCNE1;TMEM63B;USP53;TOMT;COL11A1;COL11A2;CABP2;PCDH15;USH1C;CACNA1D;LRP2;LOXHD1;MARVELD2;CDH23;MYH14;ATP6V0A4;EPS8L2;PDZD7;TBX1;TFAP2A;GRXCR1;GRXCR2;CEACAM16;EYA1;HOMER2;WFS1;WHRN;SLC52A3;LHFPL5;DCDC2;TSPEAR;USH2A;SOD1;COL1A1;REST;TMIE;USH1G;P2RX2;SLC26A4;GSDME;SLC26A5
Sensory Perception of Mechanical Stimulus (GO:0050954)	67/92	1.414435046412849E-14	2.4630028941535744E-11	0	0	5.3515279241306635	170.65734162117062	CLIC5;RIPOR2;WDR1;PJVK;RORA;CDC14A;NIPBL;GRM7;PIEZO2;HOXA1;CCDC50;TPRN;CHRNB2;PAX3;MYO7A;POU3F4;SERPINB6;COL2A1;KCNQ1;COL4A3;MYO3A;ALDH7A1;CLRN2;ATP6V1B1;CLRN1;NDUFB9;SPTBN4;KCNE1;TMEM63B;USP53;TOMT;COL11A1;COL11A2;CABP2;PCDH15;USH1C;CACNA1D;LRP2;LOXHD1;MARVELD2;CDH23;MYH14;ATP6V0A4;EPS8L2;PDZD7;TBX1;TFAP2A;GRXCR1;GRXCR2;CEACAM16;EYA1;HOMER2;WFS1;WHRN;SLC52A3;LHFPL5;DCDC2;TSPEAR;USH2A;SOD1;COL1A1;TMIE;USH1G;P2RX2;SLC26A4;GSDME;SLC26A5
Sensory Perception of Light Stimulus (GO:0050953)	71/101	4.511023290485313E-14	5.891396417373819E-11	0	0	4.7269167043229405	145.25657758629757	COL18A1;KCNK9;RAX;ARR3;BEST1;RPGR;MED12;SIX6;EFEMP1;GNAT2;ZIC2;OPA3;SIX3;GNAT1;GUCA1ANB-GUCA1A;GPR179;CHRNB2;ADGRV1;PAX6;MYO7A;PAX2;COL2A1;RBP3;ATF6;CLRN1;CNGB1;RD3;SLC24A1;OAT;CABP4;COL11A1;CABP2;PCDH15;USH1C;CRYBA1;CRYBA4;TULP1;CACNA1F;TRPM1;RDH12;ATXN7;CDH23;PDE6C;DRAM2;IMPG2;BBS2;DNAJC19;CRYGS;WFS1;WHRN;CRYBB1;EYA4;POU6F2;SLC4A10;CRYBB3;CRYBB2;KRT12;TYR;USH2A;RPE65;DHRS3;POU4F3;COL1A1;CRYGC;CRYGD;GPR143;CRYGB;TH;USH1G;PRPH2;NECTIN4
Cilium Organization (GO:0044782)	132/230	8.203929608651195E-14	8.571465655118768E-11	0	0	2.7012490614975087	81.39289690703681	DYNC2I2;DYNC2I1;TRAF3IP1;AVIL;IFT172;CEP19;TXNDC15;CDC14A;MCIDAS;DZIP1L;CEP250;NEK1;TEKT3;RTTN;TRAPPC14;DYNC2H1;DNAAF1;ARMC9;RFX3;IFT80;OCRL;ARMC2;FAM161A;IFT81;TMEM138;RAB34;ALPK3;WDPCP;ALPK1;CCNO;CFAP61;CPAP;NOTCH1;INTU;FAM149B1;ARL6;ARL3;CFAP126;TTBK2;RRP7A;KIF3B;STK36;PTPMT1;TTC21B;NPHP3;CCDC32;PIBF1;CEP78;BBS2;PLK4;BBS1;CFAP70;DCDC2;IFT122;CPLANE1;BBIP1;TMEM231;AHI1;DNMBP;TMEM237;MKS1;CEP83;IFT27;CIBAR1;DZIP1;C2CD3;CEP164;SNX10;PTPN23;TTC29;RPGR;IFT52;CATIP;TCTN3;TCTN2;TCTN1;TMEM107;CFAP47;BBS9;BBS7;CFAP43;IFT57;BBS5;CC2D2A;CEP290;IFT56;SNAP29;BBS4;OFD1;IQCB1;DNAI2;MKKS;IFT140;KIF24;WDR35;IQCG;CFAP221;IFT43;TMEM216;CFAP58;MNS1;CFAP54;CFAP53;CILK1;DNAH5;DYNLT2B;PRICKLE1;HDAC6;IFT74;CFAP298;ARL13B;TMEM67;RAB23;KIAA0753;POC1A;FLNA;POC1B;TOGARAM1;PCNT;GSN;USP9X;WDR19;SCLT1;FOXJ1;WDR11;TTC8;KIAA0586;HYLS1;B9D1;B9D2;CEP41;CLUAP1
Visual Perception (GO:0007601)	70/101	2.0891510036681982E-13	1.8189541405271112E-10	0	0	4.508987563155849	131.64822651651016	COL18A1;KCNK9;RAX;ARR3;BEST1;RPGR;MED12;SIX6;EFEMP1;GNAT2;ZIC2;GRM6;OPA3;SIX3;CEP250;GNAT1;GUCA1ANB-GUCA1A;EYS;GPR179;CHRNB2;ADGRV1;PAX6;CACNA2D4;MYO7A;PAX2;COL2A1;RBP3;RGS9BP;ATF6;CNGB1;RD3;SLC24A1;OAT;CABP4;COL11A1;CABP2;CRYBA1;CRYBA4;TULP1;CACNA1F;TRPM1;RDH12;ATXN7;PDE6C;DRAM2;IMPG2;BBS2;DNAJC19;CRYGS;WFS1;CRYBB1;EYA4;POU6F2;SLC4A10;CRYBB3;CRYBB2;KRT12;TYR;RPE65;DHRS3;POU4F3;COL1A1;CRYGC;CRYGD;GPR143;CRYGB;TH;PRPH2;REEP6;NECTIN4
tRNA Aminoacylation for Protein Translation (GO:0006418)	33/36	4.651630038432145E-13	3.4714450458242187E-10	0	0	21.889621087314662	621.5861846193618	AARS2;KARS1;PARS2;YARS1;FARS2;NARS1;QARS1;NARS2;IARS2;IARS1;VARS2;EARS2;VARS1;RARS2;HARS1;RARS1;MARS2;MARS1;DARS2;DARS1;WARS1;WARS2;GARS1;LARS2;SARS1;SARS2;EPRS1;LARS1;CARS1;FARSA;CARS2;TARS1;FARSB
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	264/555	3.061216033824325E-12	1.9989740700872844E-9	0	0	1.8294922768375497	48.50388139194511	TRRAP;SOX2;SOX17;KAT5;TRIM28;SOX18;MYC;CHEK2;KAT8;SOX9;SOX4;TP63;CDK5RAP2;ACVR1;MEF2C;SMARCC1;SMARCC2;RFX3;EBF3;HNF1B;HNF1A;SOX10;RUNX2;HCFC1;RUNX1;RFX6;ZNF711;TP53;CASZ1;AIRE;FLII;GATA6;PDGFB;GATA4;XPC;BCL10;GATA3;MRPL12;GATA1;HIF1A;NUP85;PRDM16;NKX2-1;INPP5K;ALX1;APOE;TP53BP1;NKX2-5;RREB1;CREBBP;JUN;EGR2;FZD2;FZD4;FOXF1;IL31RA;GDF2;NFATC2;TRIP4;NR1D1;NR2F2;IGF1;GDF6;SMARCA1;NR0B2;SMARCA2;SMARCA4;COL1A1;HNRNPD;HLA-DRB1;TP73;CDKN1C;RET;ZNF496;ACVRL1;TOP2B;FOXE1;MSTN;CTCF;HOXC13;BRCA1;GLI1;MED16;BRCA2;ING1;GLI3;GLI2;MED17;PHF8;IKBKB;MED12;SHH;MED13;MECOM;TEAD1;IL10;TFE3;PAX3;PAX6;PAX2;SUPT3H;PAX8;MDFIC;WAC;PPARG;PLCB1;YAP1;FOXC2;FOXC1;MYRF;KARS1;RELA;NSD1;APBB1;BRD4;MBD4;ARNT2;NPM1;CDKN2A;STAT1;STAT3;NR1H4;NR1H3;WNT7A;GATAD2B;MAD2L2;PSMC5;PHF5A;NFIB;WT1;CAMK4;CTNNB1;NEUROG3;RORC;RORA;AHR;RORB;TNF;ETS1;HOXA11;YY1;SALL1;RUVBL1;CAPN3;EP300;PITX3;KCNH2;NANOS1;MAP2K1;MAP2K2;WNT5A;DYRK1A;DYRK1B;MITF;FOXP3;POU3F3;SUPT7L;LBHD1;MYCN;KAT6B;TBL1XR1;KAT6A;PHIP;KMT2E;BLM;NOTCH1;KMT2A;DLX5;MAX;SHC1;KMT2B;MAZ;PSEN1;FOXO1;GLIS2;NEUROD1;ATXN7;DEAF1;DVL3;TASP1;OTX2;NDP;ZNF423;WNT1;WNT4;SMAD2;TFAP2A;TFAP2B;SMAD4;ZFHX3;SMAD3;TGFB1;TGFB3;ESRRB;HMGA2;BMP7;ESR1;NFKB1;ESR2;BMP4;BMP2;MAFB;LHX3;LHX2;OGT;NFE2L2;KDM5A;CIITA;RNF14;CHD8;SIX1;CHD4;CHD3;ZIC2;ZIC3;NUP62;ZIC1;WDR5;SOST;CEP290;MYOCD;MSL2;MSL3;FOXL2;ARID1A;ARID1B;TGFBR1;DNM2;ASPH;ELF4;IRF4;IRF1;IRF6;AGXT;ZP3;HDAC4;LEF1;LRP5;RNF6;LRP6;BICRA;FZR1;ERBB4;TBX21;TNNI2;RBBP7;SRY;VHL;TBX1;TCF7L2;EGF;USP21;IRX4;TBX5;KLF1;KLF6;CD4;REST;KANSL1;QRICH1;TAF6;NAA15;TAF4;TAF2
Eye Development (GO:0001654)	45/58	7.621457771701928E-12	4.4238328221523196E-9	0	0	6.895550810779618	176.52646936386625	FBN2;FOXE3;FOXC1;SMG9;CRYBA4;CACNA1C;CHRDL1;SIPA1L3;SOX2;NIPBL;SIX6;EFEMP1;SALL2;ADAMTS18;SH3PXD2B;SIX3;BLOC1S3;CPAMD8;SLC39A5;PITX2;CEP290;STRA6;TGFB2;FZD5;PAX6;ZDHHC16;PRSS56;MEIS2;PAX2;PBX1;SKI;RBP4;COL5A1;SCO2;WT1;MAB21L1;SMOC1;COL5A2;MAB21L2;RAB18;BMPR1B;ATF6;FREM2;RAB3GAP1;FBN1
Heart Development (GO:0007507)	100/171	1.8144345364383596E-11	9.47860601835399E-9	0	0	2.816688329675481	69.66420085078454	RBPJ;GJA1;SALL1;SOX17;SOX18;GJA5;SOX9;BORCS8;EPHB4;SOX4;MEF2A;MEF2C;TSC2;DNAAF4;RBP4;MTHFD1;MYL2;PKP2;ALPK3;ZFPM2;NOTCH1;PDGFB;GATA5;GATA4;CACNA1C;FLRT3;DVL1;NDUFV2;NKX2-5;STRA6;TGFB2;TGFB1;FOXF1;INSR;FN1;IFT122;BMP7;BMP4;BMP2;TH;NF1;TAB2;DZIP1;FGF12;FBN1;ACVRL1;MESP2;BMPR2;CDKN1B;CHD7;PTEN;ECE1;LDB3;SMG9;PKD1;MMP21;GLI2;CSRP3;NIPBL;SHH;CASP8;SGCD;SH3PXD2B;SGCG;KDM6A;KDM6B;MYBPC3;MKKS;MYOCD;ZDHHC16;TGFBR1;TGFBR2;HAND2;CRELD1;MYH6;MYH7;FOXC2;POPDC3;FOXC1;TBXT;ERBB3;ERBB4;GPC3;TNNI3;TBX1;PTPN11;TBX5;POU4F1;TBX19;CFC1;TBX3;WDR11;COL3A1;WT1;DLC1;TCAP;CCM2;BCOR;TEK;MEGF8
Circulatory System Development (GO:0072359)	81/132	5.225779135097284E-11	2.4817700183407466E-8	0	0	3.171918397770935	75.0946355637754	ACVRL1;CDKN1B;FLT4;PTEN;ECE1;LDB3;SMG9;RBPJ;PKD1;GLI2;GJA1;STK11;SHH;SALL1;CASP8;SOX17;SOX18;GJA5;HEY2;SH3PXD2B;SOX9;BORCS8;SOX4;KDM6A;MEF2A;KDM6B;MEF2C;MKKS;FBXW7;SLC2A10;TSC2;DNAAF4;ZDHHC16;HSPG2;TGFBR1;TGFBR2;RBP4;MTHFD1;PIK3CA;MYL2;HAND2;PKP2;ALPK3;ZFPM2;CRB2;FOXC2;POPDC3;FOXC1;NOTCH1;NXN;PDGFB;CACNA1C;ERBB3;FLRT3;ERBB4;DVL1;TNNI3;NKX2-5;STRA6;TBX1;TGFB2;TGFB1;FOXF1;FN1;PTPN11;TBX5;POU4F1;CFC1;WDR11;BMP2;COL3A1;TH;WT1;NF1;TAB2;CCM2;BCOR;TEK;DZIP1;FGF12;FBN1
Striated Muscle Contraction (GO:0006941)	42/55	9.489062905355063E-11	4.130905384797904E-8	0	0	6.432951871164229	148.46156847008044	RYR1;CHRNA1;RYR2;SMPX;ATP1A2;LOC112694756;LMOD3;RYR3;CSRP3;GRK2;TTR;MYH14;TNNI2;DMD;TNNI3;SCN5A;SCN3B;SCN1B;KCNH2;MYBPC3;NANOS1;DTNA;GAA;PGAM2;TNNC2;TPM1;STAC3;KLHL41;MYL4;MYH3;PIK3CA;TNNT1;KCNQ1;MYL2;TNNT2;TNNT3;CASQ2;MYH8;TCAP;SCN4B;MYH6;MYH7
Skeletal System Development (GO:0001501)	92/160	4.0005065566259726E-10	1.6075881732164677E-7	0	0	2.7030202833626653	58.49181804196011	COL18A1;SPEF2;CHD7;IHH;XYLT1;PTH1R;HOXA13;PKD1;PHEX;HOXA11;GLI2;COMP;RPS6KA3;GJA1;FGF8;HYAL2;TRPS1;SH3PXD2B;PLS3;COL10A1;SOX9;SOX6;ATP7A;PITX1;NKX3-2;SOX5;VKORC1;COL27A1;MYOC;WNT5A;NOG;P3H1;EN1;TGFBR1;PAX1;RAB33B;RBP4;MMP14;VCAN;COL2A1;EVC;PTRH2;CDH11;PPIB;MATN3;LAMA5;DLX3;PKDCC;COL13A1;DLX5;ANKRD11;NPRL3;COL11A2;TNFRSF11B;PTHLH;DLL3;ANKH;ARSL;TCOF1;DDRGK1;DEAF1;PRDX1;SHOX;ALX4;DYM;BPNT2;WNT1;TFAP2A;TRAPPC2;WWOX;TGFB2;SLC10A7;EIF2AK3;GDF2;NFATC2;IGF1;BMP7;TBX4;TBX3;COL1A1;BMP2;BMP1;COL1A2;GNAS;ALPL;TRIP11;TLL1;COL9A2;FGFR3;FGFR2;FBN1;FGFR1
Monoatomic Cation Homeostasis (GO:0055080)	56/84	5.457360352799994E-10	2.0363750345019408E-7	0	0	3.986173730087166	85.02064390505727	TFRC;HFE;SLC40A1;CIB2;UNC80;JPH2;HJV;SLC39A5;SLC39A8;SLC12A6;SLC39A4;SLC12A9;KCNH2;SLC11A2;ANK3;SLC39A14;MINPP1;SCNN1G;SELENON;ASPH;TFR2;SCNN1B;SCNN1A;CLDN16;FAM20A;ATP6V1B1;SLC24A4;TMPRSS6;KCNA1;PSEN2;XIAP;ITPR3;PSEN1;CYP27B1;COX11;HMOX1;TRPM7;CNNM2;CNNM4;SNCA;SLC12A2;SLC12A3;SLC12A4;SLC12A5;WFS1;CAV1;SLC12A1;SLC4A11;TF;TRPV6;CYP11B2;WNK1;TRPV5;ALPL;ATP13A2;HAMP
Monoatomic Cation Transmembrane Transport (GO:0098655)	153/304	9.124503943436311E-10	3.1777605733674194E-7	0	0	2.0303532850489896	42.26157499896766	SLC46A1;SLC4A4;SCN11A;SCN9A;SLC39A5;SLC39A8;SLC39A7;SLC12A6;SCN1B;SLC39A4;SCN1A;KCNH1;KCNH2;SLC6A19;KCNH5;SLC6A17;SLC30A2;SLC11A2;CACNA2D4;KCNK18;CACNB1;CACNB2;SCNN1G;SLC9A3;KCNQ1;SCN8A;SCNN1B;KCNQ2;SCNN1A;SLC9A9;KCNQ3;KCNQ4;ORAI1;KCNQ5;ATP6V1A;KCNE1;KCNE2;CACNA1A;SLC1A3;SLC41A1;CACNA1D;CACNA1C;SLC30A10;NALCN;CACNA1G;SLC9A1;TRPM1;GRIN2A;KCNV2;ASIC5;ATP6V0A2;ATP6V0A4;KCNN2;TRPM7;KCNN3;CACNA1S;KCNN4;SCN3B;ASIC2;SCN3A;TRPM6;ATP6V1C1;TRPM3;ATP6V0A1;TRPM4;DMAC2L;SLC4A11;TRPV3;GRIN2B;GRIN2D;SLC6A5;SLC6A6;SLC6A8;SLC6A9;TRPV6;FXYD2;TRPV4;TRPV5;SCN2A;KCNC1;KCNC2;KCNC3;SLC40A1;ATP2A2;ATP2A1;TCIRG1;SLC6A1;SLC6A2;PKD1;RYR3;SLC6A3;KCNT1;KCNT2;NNT;CNGA1;CNGA3;ITGAV;SCN5A;TRPC6;KCND2;ATP6AP1;TRPC3;KCND3;ABCC8;TRPC4;ATP6AP2;ANO6;SLC39A13;ABCC9;SLC39A14;KCNU1;ASPH;KCNMA1;ATP6V1B2;CNGB3;SCN4A;ATP6V0C;SCN4B;ATP6V1B1;CNGB1;HCN4;SLC24A1;SLC24A4;KCNA1;KCNA2;ATP1A3;KCNA5;ATP1A2;KCNA6;ATP2C1;TMEM165;ATP5F1B;KCNJ2;SLC12A2;KCNJ5;SLC12A3;SLC12A4;KCNJ10;KCNJ11;TRPA1;KCNB1;SLC31A1;SLC12A1;KCNJ16;MCOLN1;TMCO1;P2RX2;ATP5PO;SLC24A5;HCN2;KCNK3;HCN1;KCNK4
tRNA Aminoacylation (GO:0043039)	21/22	1.6055012328882709E-9	5.241961525380204E-7	0	0	41.7205860367768	844.8347678396717	RARS2;HARS1;RARS1;MARS2;MARS1;GATC;DARS2;GATB;QRSL1;YARS2;FARS2;WARS2;GARS1;LARS2;EPRS1;NARS1;QARS1;LARS1;IARS2;IARS1;VARS1
Cardiac Conduction (GO:0061337)	36/47	1.8320166485790305E-9	5.629679395398151E-7	0	0	6.511619037240854	130.99976517077326	HCN4;SPTBN4;CAMK2D;KCNE1;KCNE2;SRC;CACNA1D;KCNA5;CACNA1C;SLC4A3;CACNA1G;SLC9A1;CTNNA3;SCN5A;SCN3B;KCNJ2;SCN1B;TRPM4;KCNH2;MEF2A;KCNJ5;ACE;JUP;KCND3;CACNA2D1;CAV1;ANK2;DSPP;CACNB2;BIN1;KCNQ1;PKP2;DSG2;SCN4B;DSC3;HCN1
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	140/277	3.2714211542085393E-9	9.494391171991894E-7	0	0	2.0458176404581763	39.97126963893077	DYNC2I2;DYNC2I1;TRAF3IP1;AVIL;IFT172;CEP19;TXNDC15;CDC14A;MYLK;MCIDAS;OPHN1;DZIP1L;CEP250;NEK1;TEKT3;TRAPPC14;DYNC2H1;ACTN2;DNAAF1;ARMC9;RFX3;IFT80;OCRL;CD2AP;FAM161A;IFT81;TMEM138;RAB34;ALPK3;WDPCP;TNIK;ALPK1;CCNO;VCL;CPAP;NOTCH1;INTU;FAM149B1;ARL6;ARL3;TTBK2;RAP1B;KIF3B;STK36;PTPMT1;TTC21B;INPP5K;NPHP3;PIBF1;BBS2;PLK4;BBS1;CFAP70;DCDC2;IFT122;CPLANE1;BBIP1;TMEM231;CCDC88A;AHI1;DNMBP;TMEM237;MKS1;CEP83;IFT27;CIBAR1;DZIP1;C2CD3;CEP164;SNX10;PTPN23;RPGR;IFT52;TCTN3;TCTN2;TCTN1;TMEM107;CFAP47;BBS9;BBS7;CFAP43;IFT57;BBS5;CC2D2A;CEP290;IFT56;SNAP29;BBS4;OFD1;IQCB1;DNAI2;MKKS;IFT140;MINK1;KIF24;ANO6;EMP2;WDR35;CFAP221;IFT43;TMEM216;KIT;CFAP58;CFAP54;CFAP53;CILK1;DNAH5;DYNLT2B;PRICKLE1;NTN1;FGD1;HDAC6;FGD4;IFT74;CFAP298;ARL13B;TMEM67;RAB23;KIAA0753;POC1A;FLNA;POC1B;TOGARAM1;S1PR2;PCNT;MAP4K4;P2RY12;GSN;USP9X;WDR19;SCLT1;FOXJ1;WDR11;TTC8;KIAA0586;HYLS1;B9D1;B9D2;CEP41;CLUAP1
Cardiac Muscle Cell Contraction (GO:0086003)	24/27	3.683230004999196E-9	1.0126943971639896E-6	0	0	15.898294944660485	308.73655315985195	CAMK2D;KCNE1;KCNE2;GSN;CACNA2D1;CACNA1D;CACNA1C;CACNA1G;PIK3CA;SCN11A;KCNQ1;SCN8A;SCN9A;PKP2;SCN4A;SCN5A;SCN3B;SCN2A;SCN3A;FGF12;SCN4B;KCNJ2;SCN1B;SCN1A
Aerobic Respiration (GO:0009060)	53/81	4.330225442425852E-9	1.0997862623719667E-6	0	0	3.7709285606987275	72.61920818454387	NDUFA13;NDUFA11;NDUFA12;NDUFA10;OGDHL;NNT;IDH3B;DLAT;IDH3A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;OXA1L;NDUFS8;NDUFS7;SDHAF2;NDUFS6;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;SUCLG1;UQCRC2;NDUFB9;NDUFB8;C2ORF69;NDUFB10;UQCRB;NDUFB11;NDUFB3;UQCRH;MFN2;NDUFV2;LDLR;NDUFV1;NDUFA9;NDUFA8;SURF1;NDUFA6;MDH1;IDH3G;MDH2;NDUFA2;NDUFA1;CHCHD10;ATP5F1D;KGD4;SUCLA2;OGDH
Inorganic Cation Transmembrane Transport (GO:0098662)	152/307	4.421039722398794E-9	1.0997862623719667E-6	0	0	1.9641314720262866	37.78378291370631	SLC46A1;SLC4A4;SCN11A;SCN9A;SLC39A5;SLC39A8;SLC39A7;SLC12A6;SCN1B;SLC39A4;SCN1A;KCNH1;KCNH2;SLC6A19;KCNH5;SLC6A17;SLC30A2;SLC11A2;CACNA2D4;KCNK18;SLC9B1;CACNB1;CACNB2;SCNN1G;SLC9A3;KCNQ1;SCN8A;SCNN1B;KCNQ2;SCNN1A;SLC9A9;KCNQ3;KCNQ4;ORAI1;KCNQ5;RHCE;ATP6V1A;KCNE1;KCNE2;CACNA1A;SLC1A3;SLC41A1;CACNA1D;CACNA1C;SLC30A10;NALCN;CACNA1H;CACNA1G;SLC9A1;TRPM1;GRIN2A;KCNV2;ASIC5;ATP6V0A2;ATP6V0A4;KCNN2;TRPM7;KCNN3;CACNA1S;KCNN4;SCN3B;ASIC2;SCN3A;TRPM6;ATP6V1C1;TRPM3;ATP6V0A1;TRPM4;DMAC2L;SLC4A11;TRPV3;SLC6A5;SLC6A6;SLC6A8;SLC6A9;TRPV6;FXYD2;TRPV4;TRPV5;SCN2A;KCNC1;KCNC2;KCNC3;SLC40A1;ATP2A2;ATP2A1;TCIRG1;SLC6A1;SLC6A2;PKD1;RYR3;SLC6A3;KCNT1;KCNT2;NNT;ITGAV;SCN5A;TRPC6;KCND2;ATP6AP1;TRPC3;KCND3;ABCC8;TRPC4;ATP6AP2;ANO6;SLC39A13;ABCC9;SLC39A14;KCNU1;ASPH;KCNMA1;ATP6V1B2;SCN4A;ATP6V0C;SCN4B;ATP6V1B1;HCN4;SLC24A1;SLC24A4;KCNA1;KCNA2;ATP1A3;KCNA5;ATP1A2;KCNA6;ATP2C1;RHD;TMEM165;ATP5F1B;KCNJ2;SLC12A2;KCNJ5;SLC12A3;SLC12A4;KCNJ10;KCNJ11;TRPA1;KCNB1;SLC31A1;SLC12A1;KCNJ16;MCOLN1;TMCO1;P2RX2;ATP5PO;RHAG;SLC24A5;HCN2;KCNK3;HCN1;KCNK4
